date,forestry,agricultural products processing,agricultural comprehensive,feed,fishery,plantation,livestock,animal health,coal mining,other mining,oil mining,mining services,chemical fiber,chemical raw materials,chemical products,petrochemical,plastics,rubber,steel,metal and non-metallic materials,gold,rare metals,industrial metals,general machinery,instrumentation,special equipment,metal products,transportation equipment,Semiconductor,other electronic,components,optical optoelectronics,electronics manufacturing,automotive services,auto parts,automotive vehicles,computer equipment ,communication equipment,white goods,audiovisual equipment,beverage manufacturing,food processing,textile manufacturing,clothing come textiles,packaging and printing,household light industry,papermaking,chemical pharmaceutical,biology products,medical devices,pharmaceutical business,chinese medicine,medical services,electricity,environmental protection,Gas,Water,Harbor,Public Transportation,Air Transportation,Airport,Expressway,Shipping,Railway Transportation,Logistics,Real Estate Development,Park Development,Multi-Finance,Banking,Brokers,Insurance,Trade,General Retail,Professional Retail,Commercial Property Management,Catering,Attractions,Hotels,Tourism,Computer Application,Communication Operations,Cement Manufacturing,Glass Manufacturing,Other Building Materials,Decoration,Motor,Electrical Automation Equipment,Power Equipment,High and Low Voltage Equipment,Aerospace Equipment,Aviation Equipment,Ground Armament,Shipbuilding,Internet Media,Cultural Media,Other Delivery Equipment
2007/10/12,1576.66,1576.66,2130.6499,2667.49,1469.91,1781.24,2625.2,2589.19,8221.5498,3601.5801,2767.1001,15732.37,3104.8,2513.28,3964.0901,6678.77,2299.23,2360.6101,7429.8999,3039.8899,14479.08,12277.54,6033.15,3085.6899,2329.5901,7034.5298,4538.88,6344.68,977.82,2816.3201,1903.14,1425.1899,1272.81,1838.49,3418.04,5330.1201,1388.21,1263.34,3625.29,891.18,6376.9502,5013.74,2393.8201,2792.75,2697.4299,1867.8,2883.28,3463.6799,2552.8401,1603.88,2791.8301,3120.23,1193.4399,3788.2,1341.42,4486.9399,3195.5701,7468.4199,3720.55,6195.0898,5135.7998,3013.46,6834.2998,3301.75,3762.45,6084.6299,2979.04,3972.99,3940.8999,12680.7695,1922.09,4724.9502,4600.94,12314.31,1168.06,1158.35,8477.5703,2294.8501,2666.27,1527.01,4223.7402,6190.27,7273.05,2898.76,2056.61,3871.6,1756.41,12422.4,5309.22,6746.7,4142.07,4302.86,10572.87,551.74,3373.54,1661.95
2007/10/15,1529.72,1529.72,2132.8601,2626.1001,1472.09,1794.22,2557.3,2564.43,8211.1201,3656.46,2739.24,15779.26,3133.5601,2567.95,4041.6201,7116.1099,2304.99,2315.8899,7859.3398,3098.1399,14350.11,12433.68,6112.61,3126.6499,2324.53,7219.25,4563.23,6440.57,990.77,2855.3101,1901.48,1456.87,1293.84,1781.24,3515.22,5487.8198,1386.3199,1283.63,3675.1499,903.68,6569.77,5100.41,2404.97,2880.72,2713.02,1863.63,2878.02,3369.6699,2520.1001,1572.59,2790.6699,3090.9399,1194.5699,3955.73,1350.12,4648.6899,3223.8501,7709.6099,3733.24,6040.02,5107.0098,3034.8,7010.8799,3561.3401,3737.3101,5824.5898,2896.79,4020.97,3904.76,13039.7002,1901.77,4665.1499,4516.96,12159.04,1157.25,1117.54,8188.8701,2321.8601,2671.0701,1545.45,4637.7402,6156.55,7206.44,2900.22,2031.91,3845.77,1735.23,12383.93,5524.94,7039.96,4274.73,4265.31,10028.62,574.31,3343.9,1637.75
2007/10/16,1626.77,1626.77,2162.48,2700.5601,1464.8,1739.46,2504.16,2593.5,8556.0898,3572.72,2712.45,16358.43,3176.3,2563.5801,4103.7002,7021.6802,2360.1299,2352.6899,7752.9702,3148.22,14113.96,12129.79,6018.95,3143.52,2345.6299,7317.5698,4560.82,6336.7,994.86,2904.1101,1924.26,1480.55,1299.14,1831.89,3560.51,5450.02,1437.6801,1288.33,3697.27,921.15,6523.9102,5102.08,2421.97,2896.45,2743.6799,1895.11,2927.6799,3447.4199,2558.49,1606.86,2908.3401,3168.6699,1199.12,3960.8101,1331.78,4609.5898,3190.8201,7695.9302,3787.6201,6170.54,5263.0698,3110.3899,6840.1001,3487.1201,3710,5953.9399,3011.0701,4003.7,4013.04,13720.1904,1897.73,4651.6201,4555.38,11922.62,1168.45,1146.5,8487.1201,2339.3201,2668.52,1564.42,4524.3101,6177.07,7405.5,2935.76,2046.64,3797.12,1735.07,12420.83,5487.86,6905.04,4198.02,4351.83,9710.05,583.42,3368.7,1633.76
2007/10/17,1707.67,1707.67,2160.75,2730.99,1455.9399,1750.04,2479.4,2675.61,8328.5303,3510.22,2638.52,16013.65,3172.3501,2580.6299,4162.1499,7283.7002,2327.48,2364.5601,7662.3101,3136.5701,14077.48,12102.15,5981.05,3163.8,2358.5901,7286.23,4538.66,6254.26,987.02,2885.21,1892.75,1500.35,1300.08,1783.42,3515.1899,5370.9102,1431.1801,1359.8101,3788.45,904.11,6384.6299,5115.47,2406.73,2879.48,2681.3301,1901.63,2933.72,3453.0601,2551.3701,1599.46,2902.25,3176.05,1194.87,3953.9099,1336.26,4572.3999,3193.74,7922.4502,3738.5901,6111.3999,5330.2798,3046.1001,6753.7402,3355.1599,3698.9299,5848.6401,2950.3401,4067.0901,3929.27,13377.7695,1865.6899,4664.4199,4545.86,11993.4,1170.84,1126.76,8454.4902,2380.03,2645.74,1561.84,4509.23,6058.63,7317.44,2877.13,2013.87,3787.75,1750.11,12599.75,5497.47,7309.75,4173.34,4240.24,9651.22,577.49,3345.74,1622.71
2007/10/18,1821.77,1821.77,2103.45,2670.53,1452.01,1673.47,2394.93,2601.63,7836.0801,3289.26,2423.6899,14843.5,3107.3601,2507.96,4094.8601,7020.1001,2248.8101,2337.75,7360.71,3052.97,12821.47,11580.43,5704.39,3079.6599,2279.1799,7110.5698,4348.45,6004.38,963.82,2850.4099,1847.08,1448.89,1263.56,1779.98,3419.6201,5191.04,1379.3199,1328.5699,3655.46,875.36,6182.98,4974.17,2394.3701,2793.3401,2596.3401,1860.1899,2860.96,3416.8999,2528.0601,1570.12,2853.99,3145.8701,1166.75,3832.6001,1313.34,4363.8599,3145.03,7552.1299,3718.74,5587.0298,5100.3599,2991.28,6695.1699,3182.6899,3604.04,5705.9199,2896.98,4104.3101,3773.71,13318.8203,1851.88,4525.4102,4424.31,11498.2,1135.36,1105.7,8417.3301,2333.78,2564.96,1533.98,4257.75,5857.9,7062.32,2827.34,1994.87,3683.83,1732.4,12449.3,5256.55,6921.01,3981.39,4077.37,9048.66,546.59,3273.2,1616.83
2007/10/19,1878.47,1878.47,2099.6201,2617.22,1445.24,1651.9399,2379.55,2538.63,7851.0098,3339.5901,2474.05,15134.99,3113.05,2482.48,4123.8599,6999.6699,2248.5701,2350.8101,7280.9102,3043.99,13190.93,11764.06,5756.77,3065.0701,2291.6599,7070.52,4339.72,5834.76,962.25,2848.1201,1828.3199,1418.85,1279.22,1770.14,3374.4299,5120.0898,1369.36,1310.51,3650.23,872.73,6229.3301,4929.5,2370.76,2779.25,2621.9099,1848.04,2838.03,3418.46,2513.6699,1545.96,2855.3601,3106,1149.66,3819.4099,1279.36,4377.71,3113.55,7722.3501,3658.0601,5423.1899,5047.27,2974.1699,7067.54,3168.1699,3626.8701,5822.5098,2937.74,4040.5901,3766.9099,13168.7002,1837.17,4601.1802,4411.17,12061.68,1130.92,1105.7,8427.0303,2316.3601,2539.95,1548.17,4220.3198,5845.92,7017.59,2793.93,1994.87,3505.28,1724.77,12401.85,5268.83,7019.3,3953.11,4146.91,9331.15,544.34,3248.82,1613.04
2007/10/22,1806.24,1806.24,2001.36,2624.8301,1409.02,1574.1899,2331.24,2429.36,7371.4702,3164.3601,2305.8301,14240.27,3054.77,2420.5901,4048.0601,6693.6001,2241.6599,2337.73,6965.5601,2962.73,12847.4,11382.35,5484.27,3018.6799,2195.0701,7021.79,4234.2,5670.39,936.29,2742.29,1782.9,1377.11,1249.07,1675.38,3294.6499,4956.0098,1342.77,1281.29,3538.5801,844.41,6040.8301,4810.66,2312.47,2703.29,2601.72,1823.11,2702.6001,3387.9399,2477.0801,1487.98,2781.0801,3045.55,1153.67,3646.8101,1206.15,4098.3999,3018.48,7450.6299,3452.3601,4993.5,4965.8799,2908.6299,6780.3101,3155.4399,3402.1799,5741.5098,2917.0701,3965.77,3741.3201,13092.0303,1866.1899,4493.3501,4388.44,11606.41,1104.71,1054.36,8411.0098,2205.3899,2450.98,1521.91,3991.95,5747.53,6690.4,2715.08,1899.87,3302.34,1715.28,12185.23,5321.06,7227.41,3837.87,3956.8,9242.17,535.82,3154.65,1523.78
2007/10/23,1839.28,1839.28,1997.1899,2599.78,1410.78,1564.02,2333.73,2450.91,7273.4902,3167.3,2338.51,14229.56,2999.27,2418.55,4046.4399,6747.4902,2307.96,2334.02,7100.4902,2959.3401,12642.25,11252.49,5532.45,2982.3999,2139.79,7043.1899,4278.54,5547.56,925.39,2713.9199,1776.34,1377.21,1252.32,1706.8,3301.6201,5035.1602,1339.53,1314.2,3580.53,845.9,6248.1699,4929.14,2267.75,2738.6699,2613.99,1812.84,2730.1201,3349.6399,2489.3799,1493.4301,2762.8899,3036.3201,1161.22,3692.49,1186.24,4091.75,3013.6101,7622.0298,3432.8999,4989.9199,4966.2402,2929.27,6783.7402,3151.54,3331.8101,5846.1001,2974.7,3980.26,3863.8301,12946.4902,1909.1801,4509.8599,4462.84,11585.22,1110.88,1066.21,8394.7695,2230.47,2464.4099,1524.03,4052.2,5685.89,6846.28,2765.86,1900.35,3311.01,1729.67,12197.91,5252.87,6813.14,3757.12,3893.62,9457.29,541.58,3131.76,1509.42
2007/10/24,1751.05,1751.05,1944.88,2524.8501,1377.02,1537.99,2257.62,2448.52,7276.8901,3062.3401,2380.8301,14820.91,2918.5,2355.79,4025.46,7253.4199,2253.0901,2269.3301,6988.8799,2921.8999,13151.23,11416.91,5512.28,2919.6399,2080.0701,6995.9502,4213.06,5293.53,903.85,2667.9199,1712.26,1371.72,1196.27,1620.0601,3253.46,4955.9102,1302.8199,1288.16,3529.1499,816.52,6297.71,4863.09,2207.3101,2719.8101,2521.6001,1783.59,2625.02,3289.02,2435,1465.97,2706.9199,2967.6599,1241.4399,3671.5701,1183.8,3874.1101,3042.6001,7500.4302,3325.8799,5134.9399,4911.3101,2867.45,7217.6099,3037.8899,3179.4299,5928.2402,2960.5601,4072.1101,3930.74,13104.1201,1957.3,4484.3101,4350.8,11780.59,1098.21,1053.05,8359.8301,2161.03,2394.6299,1507.17,4158.77,5769.23,6682.45,2730.4,1900.35,3251.08,1732.7,11972.13,5221.05,6671.83,3701.04,3746.15,9713.28,542.25,3047.18,1462.88
2007/10/25,1607.02,1607.02,1766.78,2334.8601,1278.05,1433.4301,2100.44,2222.89,6841.6299,2848.02,2222.25,14137.11,2723.5801,2152.5,3759.74,6764.27,2067.48,2138.5,6513.96,2730,12592.05,10825.1,5179.98,2699.8601,1889.78,6588.8301,3931.87,4878.15,826.96,2462.6101,1566.53,1304.67,1101.8,1466.55,3088.49,4573.6099,1196.73,1228.02,3442.21,770.67,6128.2202,4609.67,2014.01,2547.4199,2298.21,1669.11,2430.0801,3062.76,2268.71,1391.78,2493.47,2736.48,1157.51,3401.48,1070.72,3487.6299,3000.21,7199.4399,3044.96,4918.6699,4624.8701,2666.04,7048.1699,2744.6001,2879.0701,5781.2402,2841,3949.79,3849.49,12950.0098,1896.79,4266.2002,4103.53,11513.64,1006.92,979.33,8251.7998,1978.53,2295.0901,1425.41,3891.3201,5399.81,6215.77,2501.36,1857.13,3002.17,1644.19,11003.25,5043.11,6094.05,3423.32,3530.87,9161.9,502.44,2944.57,1323
