date,forestry,agricultural products processing,agricultural comprehensive,feed,fishery,plantation,livestock,animal health,coal mining,other mining,oil mining,mining services,chemical fiber,chemical raw materials,chemical products,petrochemical,plastics,rubber,steel,metal and non-metallic materials,gold,rare metals,industrial metals,general machinery,instrumentation,special equipment,metal products,transportation equipment,Semiconductor,other electronic,components,optical optoelectronics,electronics manufacturing,automotive services,auto parts,automotive vehicles,computer equipment ,communication equipment,white goods,audiovisual equipment,beverage manufacturing,food processing,textile manufacturing,clothing come textiles,packaging and printing,household light industry,papermaking,chemical pharmaceutical,biology products,medical devices,pharmaceutical business,chinese medicine,medical services,electricity,environmental protection,Gas,Water,Harbor,Public Transportation,Air Transportation,Airport,Expressway,Shipping,Railway Transportation,Logistics,Real Estate Development,Park Development,Multi-Finance,Banking,Brokers,Insurance,Trade,General Retail,Professional Retail,Commercial Property Management,Catering,Attractions,Hotels,Tourism,Computer Application,Communication Operations,Cement Manufacturing,Glass Manufacturing,Other Building Materials,Decoration,Motor,Electrical Automation Equipment,Power Equipment,High and Low Voltage Equipment,Aerospace Equipment,Aviation Equipment,Ground Armament,Shipbuilding,Internet Media,Cultural Media,Other Delivery Equipment
2007/10/12,1652.49,1652.49,2165.27,2718.73,1491.42,1803.49,2391.69,2437.53,8427.2598,3637.26,2767.6399,14749.72,3225.02,2618.26,4080.6201,6901.6899,2408.47,2459.8101,7669.77,3143.3799,14879.32,12472.34,6119.46,3220.3501,2468.3301,7334.79,4747.78,6653.81,1019.74,2932.26,1985.39,1494.49,1190.96,1940.0601,3545.8201,5486.3301,1460.12,1325.98,3780.8501,935.21,6527.29,4731.92,2523.48,2920.53,2821.1299,1956.49,2996.0901,3615.51,2653.77,1686.29,2903.5901,3275.71,1241.4301,3958.0601,1367.8199,4755.8198,3313.0801,7745.3999,3857.22,6312.1099,5355.7002,3121.5,7185.5698,3348.03,3893.5801,6389.1001,3113.0901,3972.99,4074.46,13062.46,1970.8,4921.7598,4822.83,12731.42,1220.69,1241.28,8902.3203,2418.3,2803.1599,1582.22,4277.1802,6449.24,7403.86,3038.96,2104.11,3989.16,1798.16,12865.88,5501.65,6898.17,4297.91,4491.73,10839.65,575.27,3534.34,1702.08
2007/10/15,1602.17,1602.17,2191.0901,2706.1201,1502.53,1832.85,2503.42,2517.5,8485.2998,3825.8401,2935.8601,15562.36,3237.02,2626.1499,4149.9902,7175.9302,2357.6201,2394.6799,7922.48,3169.1899,14790.62,13018.28,6403.2,3195.6499,2400.27,7448.8398,4642.34,6586.65,1006.55,2905.8601,1950.83,1481.45,1236.44,1855.34,3593.95,5577.8901,1427.77,1317.54,3782.1799,916.5,6693.02,4849.72,2464.98,2945.24,2789.01,1933.75,2950.1299,3510.0601,2619.4199,1626.8199,2847.04,3176.0701,1207.98,4004.77,1389.3101,4782.2002,3283.8601,7853.77,3821.6699,6389.9502,5231.3701,3075.29,7209.98,3595.9099,3823.28,6086.6201,3000.79,4109.8999,4014.8899,13489.0098,1946.45,4816.1299,4672.71,12506.43,1196,1166.25,8528.1201,2382.6599,2728.4199,1581.8101,4642.5898,6400.36,7554.96,2971.89,2113.61,3896.68,1790.98,12672.18,5686.01,7254.47,4381.9,4383.88,10813.29,581.59,3421.15,1690.34
2007/10/16,1644.85,1644.85,2209.1399,2726.1001,1492.14,1790.5601,2452.79,2504.44,8637.7998,3682.26,2796.5701,15492.72,3259.77,2623.26,4187.3198,7398.6899,2392.3401,2379.6299,8104.6602,3207.0601,14474.89,12525.54,6180.28,3203.4299,2381.0601,7499.1201,4652.59,6525.98,1006.09,2949.28,1953.5699,1497.92,1269.57,1850.5601,3642.1599,5620.6099,1449.1,1321.1801,3813.96,928.56,6677.79,4934.9,2469.8501,2967.9399,2763.1499,1921.64,2967.05,3488.3601,2595.79,1625.75,2941.6299,3211.3799,1241.25,4109.46,1363.04,4727.5801,3273.1899,7840.29,3828.6499,6287.75,5297.6201,3135.28,7050.0698,3578.6699,3810.7,6075.96,3036.1201,4092.6799,4125.0801,13934.54,1942.86,4771.1401,4637.17,12356.75,1188.75,1151.77,8515.3398,2375.28,2707.78,1595.8,4704.6099,6356.93,7596.94,2961.4,2089.39,3841.04,1761.46,12706.9,5736.14,7102.75,4304.98,4403.93,10255.73,598.98,3409.11,1654.84
2007/10/17,1733.3199,1733.3199,2221.23,2786.6001,1493.29,1779.03,2447.55,2589.64,8639,3641.47,2704.4199,15758.97,3251.99,2644.45,4249.3599,7396.4302,2399.9399,2414.5701,7942.8301,3237.1101,14415.04,12486.2,6189.97,3247.95,2413.1201,7578,4634.66,6409.58,1002.75,2960.48,1945.41,1536.83,1270.96,1836.53,3610.75,5539.52,1463.26,1374.98,3851.97,927.2,6572,4991.02,2464.8,2962.75,2765.2,1949.67,2985.3101,3544.3799,2619.74,1626.65,2979.5,3247.8601,1222.11,4073.49,1359.15,4678.1802,3260.6201,8051,3815.6499,6302.3999,5393,3138.3501,7050.9199,3517.5801,3755.6399,6070.7598,3044.8899,4083.8301,4047.6299,14167.8897,1919.75,4757.25,4658.29,12167.19,1192.18,1157.03,8527.8896,2436.25,2695.6699,1602.4,4645.3198,6279.03,7527.68,2962.06,2042.36,3823.38,1767.87,12800.98,5641.02,7517.57,4374,4420.94,10036.5,600.78,3400.41,1653.31
2007/10/18,1841.85,1841.85,2220.4299,2781.95,1504.99,1756.73,2383.85,2579.48,8317.7998,3503.51,2644.4099,14751.18,3245.8899,2616.97,4256.8101,7443.1099,2343.8301,2400.95,7743.0801,3166.29,14013.43,12231.95,6025.82,3200.1599,2359.6499,7468.5698,4565.16,6323.22,993.76,2945.4199,1911.76,1522.14,1247.19,1812.29,3575.46,5417.9702,1438.77,1367.85,3790.5901,910.29,6406.1001,4893.3,2480.8,2903.3,2694.3501,1932.63,2968.73,3545.8301,2618.1299,1614.62,2961.5801,3255.05,1214.84,4027.9099,1363.89,4578.02,3256.3301,7937.3599,3828.75,6095.9702,5331.3398,3084.96,6933.4902,3372.3999,3751.3201,5939.1001,2994.23,4140.52,3943.3899,13577.04,1943.23,4710.73,4603.22,12069.52,1174.73,1138.61,8505.9199,2408.8799,2661.9299,1588.96,4539.2402,6146.29,7431.28,2917.48,2009.12,3730.41,1768.73,12809.58,5534.96,7292.64,4186.91,4281.86,9637.7,581.71,3425.93,1660.28
2007/10/19,1971.25,1971.25,2161.3,2734.99,1486.85,1707.52,2354.74,2467.48,8056.8799,3419.8701,2544.23,14668.14,3223.1899,2569.0801,4252.3701,7253.5498,2304.0801,2405.29,7543.6401,3135.3799,13342.71,12029.6,5909.04,3166.6101,2354.22,7351.2202,4468.3,6134.94,986.95,2935.7,1887.29,1493.83,1249.42,1818.48,3479.1101,5326.1001,1413.39,1376.37,3739.4299,895.21,6401.4702,4870.52,2457.8501,2853.46,2691.3701,1903.6801,2930.3899,3519.1499,2596.1799,1593.96,2935.3601,3224.77,1194.92,3942.28,1330.92,4510.73,3210.73,7878.0298,3781.6799,5741.8701,5203.02,3053.4199,7172.6099,3275.6699,3736.28,6002.3398,3027.0901,4165.3999,3880.1499,13662.8096,1892.85,4698.3101,4525.99,12196.93,1160.82,1130.71,8488.2695,2392.1101,2626.24,1592.9,4359.3198,6028.54,7255.86,2868.05,2018.62,3638.24,1755.8,12796.24,5424.06,7216.52,4078.55,4199.37,9467.72,565.27,3367.18,1656.78
2007/10/22,1929.23,1929.23,2113.3301,2736.1799,1485.0699,1658.0699,2290.53,2395.78,7776.1099,3341.29,2457.98,14150.91,3218.5601,2535.4299,4205.0898,6994.54,2322.0801,2403.74,7231.4902,3067.5,13202.32,11888.84,5761.47,3132.03,2321.96,7275.5698,4371.24,5896.62,966.69,2879.6799,1864.46,1437.58,1228.29,1759.8,3401.95,5195.1401,1393.48,1338.5,3662.3201,878.35,6242.73,4723.81,2416.6399,2803.0901,2657.8999,1882.71,2838.71,3509.6599,2563.8501,1550.87,2891.27,3155.3601,1192.46,3823.6499,1267.91,4356.1099,3146.3,7792.9502,3635.3401,5404.7798,5046.52,3016.3501,7108.73,3275.78,3668.8899,5944.96,3010.72,4051.3501,3826.1899,13587.2598,1882.49,4636.0801,4517.21,12015.82,1136.05,1100.4301,8485.1299,2312.4199,2573.02,1582.99,4179.7002,5927.23,7027.36,2833.6,2004.37,3417.66,1752.27,12829.64,5487.42,7462.11,4019.62,4127.41,9586.26,551.85,3301.69,1619.36
2007/10/23,1907.55,1907.55,2041.49,2700.49,1455.02,1608.97,2261.16,2357.78,7499.0298,3233.1299,2346.01,13642.88,3117.5701,2474.95,4150.1699,6786.21,2341.1299,2403.52,7155.4902,3038.78,12995.32,11625.32,5646.88,3072.46,2249.53,7230.1401,4310.98,5851.34,948.3,2786.6299,1817.09,1420.37,1196.38,1717.12,3363.5901,5096.8301,1374.14,1337.8101,3627.03,859.81,6372.04,4711.12,2360.4299,2794.97,2670.28,1860.9399,2788.6599,3481,2554.1101,1516.4301,2844.0801,3123.1001,1179.3199,3756.9199,1229.34,4169.7002,3085.01,7762.8999,3522.8899,5157.75,5035.98,2969.1201,7076.5098,3218.78,3491.5901,5949.73,3015.53,4017.1899,3895.0901,13490.5303,1909.74,4599.3301,4542.43,11800.2,1130.45,1079.37,8461.1602,2288.8799,2516.3701,1556.63,4063.8601,5861.48,6939.43,2808.95,1942.62,3313.71,1757.78,12475.69,5394.39,7327.58,3906.97,4037.81,9531.26,548.97,3222.98,1549.72
2007/10/24,1842.5699,1842.5699,2038.0601,2641.53,1440.6,1611.48,2244.68,2405.62,7552.2402,3225.55,2446.1899,14086.71,3069.8701,2464.55,4182.5601,7333.5298,2355.76,2382.0701,7220.3599,3019.74,13303.77,11764.14,5654.63,3039.27,2192.99,7229.6201,4380.71,5637.16,935.18,2762.5801,1800.51,1422.58,1191.64,1722.54,3371.9299,5110.46,1361.29,1331.92,3691.5801,852.93,6514.1899,4791.23,2310.21,2790.28,2640.9399,1851.13,2764.71,3415.75,2545.3501,1519.52,2843.6399,3086.1499,1254.73,3781.71,1231.45,4146.4902,3156.3501,7756.21,3490.9299,5305.8599,5048.6001,2987.54,7294.1299,3174,3381.3,6150.73,3071.1001,4140.5098,4041.9299,13516.54,2014.53,4622.9502,4503.41,12083.61,1140.94,1079.37,8449.5996,2251.1599,2500.0901,1559.89,4291.7598,5899.27,6965.99,2819.15,1923.62,3321.55,1760.07,12474.08,5386.79,6984.86,3825.1,3988.33,9941.8,557.42,3183.27,1533.48
2007/10/25,1773.6,1773.6,1951.73,2500.48,1388.98,1552.84,2097.13,2215.73,7231.9702,3092.8899,2350.8301,13762.93,2945.8999,2348.9299,4058.04,7237.8301,2245.5601,2292.0701,6936.3599,2911.5901,13233.23,11552.92,5523.95,2921.53,2083.1399,7133.29,4250.18,5328.2,909.64,2664.48,1709.15,1399.73,1090.98,1613.05,3304.2,4938.0698,1304.29,1289.66,3576.3201,817.89,6397.98,4562.81,2207.55,2728.1799,2505.0701,1805.92,2626.3899,3302.1699,2455.01,1478.66,2705.54,2965.8501,1260.3,3670.48,1181.5601,3829.51,3134.1499,7601.4199,3323.8301,5276.3701,4891.5,2872.8101,7615.0898,3004.8999,3172.3501,6067.54,3025.47,4101.77,3992.8899,13424.9004,2011.21,4523.27,4372.13,12001.69,1093.82,1051.73,8368.5703,2163.9099,2446.6799,1520.9,4115.4502,5836.62,6718.37,2760.94,1900.82,3179.46,1737.23,11984.49,5353.14,6717.08,3713.95,3675.36,9714.1,546.6,3112.87,1454.44
