date,forestry,agricultural products processing,agricultural comprehensive,feed,fishery,plantation,livestock,animal health,coal mining,other mining,oil mining,mining services,chemical fiber,chemical raw materials,chemical products,petrochemical,plastics,rubber,steel,metal and non-metallic materials,gold,rare metals,industrial metals,general machinery,instrumentation,special equipment,metal products,transportation equipment,Semiconductor,other electronic,components,optical optoelectronics,electronics manufacturing,automotive services,auto parts,automotive vehicles,computer equipment ,communication equipment,white goods,audiovisual equipment,beverage manufacturing,food processing,textile manufacturing,clothing come textiles,packaging and printing,household light industry,papermaking,chemical pharmaceutical,biology products,medical devices,pharmaceutical business,chinese medicine,medical services,electricity,environmental protection,Gas,Water,Harbor,Public Transportation,Air Transportation,Airport,Expressway,Shipping,Railway Transportation,Logistics,Real Estate Development,Park Development,Multi-Finance,Banking,Brokers,Insurance,Trade,General Retail,Professional Retail,Commercial Property Management,Catering,Attractions,Hotels,Tourism,Computer Application,Communication Operations,Cement Manufacturing,Glass Manufacturing,Other Building Materials,Decoration,Motor,Electrical Automation Equipment,Power Equipment,High and Low Voltage Equipment,Aerospace Equipment,Aviation Equipment,Ground Armament,Shipbuilding,Internet Media,Cultural Media,Other Delivery Equipment
2007/10/12,1455.89,1455.89,1935.16,2473.4299,1336.22,1537.04,2678.71,2671.32,7779.1001,3269.28,2517.98,16105.52,2936.71,2358.3899,3689.53,6296.96,2179.75,2253.21,7055.8301,2842.99,13658.75,11422.57,5554.8,2932.8,2224.8301,6678.1802,4350.03,6082.59,924.85,2669.46,1805.17,1370.2,1315.73,1740.5601,3232.1201,5013.4102,1330.85,1219.34,3467.4399,855.64,6008.7402,5178.18,2268.1299,2694.3301,2541.75,1794.8199,2722.5701,3280.01,2428.3101,1556.38,2638.5701,3002.6299,1130.41,3603.6201,1220.5,4289.25,3033.5901,7137.6299,3514.53,5757.4199,4916.71,2887.01,6473.5898,3111.54,3488.23,5807.2202,2829.74,3698.0601,3742.75,12037.7305,1855.13,4481.02,4424.21,11498.7,1113.52,1118.86,7935.9399,2186.5801,2564.05,1463.46,3922.6699,5856.4,6808.58,2728.23,1947.37,3669.21,1655.06,11851.52,5010.62,6158.75,3904.29,4255.54,9805.88,520.88,3227.27,1556
2007/10/15,1504.8,1504.8,2078.8601,2557.4199,1419.48,1721.3199,2651.17,2747.9,8002.3101,3537.23,2687.8101,16686.27,3017.8,2417.7,3855.77,6514.5601,2201.26,2271.52,7187.8599,2939.21,13902.21,12158.44,5902.68,3014.75,2231,6890.9302,4351.79,6149.15,951.2,2676.5,1810.67,1391.92,1339.23,1736.63,3339.6699,5116.5898,1337.41,1242.35,3481.8101,859.8,6243.46,5198.34,2301.24,2758.9399,2640.52,1808.0699,2768.1699,3282.2,2455.53,1539.97,2666.1799,3022.1399,1135.9399,3690.1599,1299.15,4302.3901,3137.76,7289.3398,3589.9099,5932.3198,4982.5498,2895.95,6667.5698,3270.02,3584.9099,5695.8198,2839.73,3758.72,3806.51,12732.9805,1872.6899,4555.6802,4403.5,11927.82,1129.24,1085.95,7922.2002,2217.3401,2584.1299,1494.84,4152.8198,6023.97,7012.49,2802.3,2023.37,3809.36,1656.24,12074.86,5201.76,6703.12,4027.82,4175.91,9909.2,544.55,3246.17,1593.94
2007/10/16,1522.45,1522.45,2128.54,2573.49,1431.63,1703.42,2569.73,2623.35,8012.7798,3489.98,2571.55,16617.24,3057.6001,2477.72,3949.3501,6863.1699,2246.8799,2272.46,7621.7002,2966.6399,13874.37,11740.81,5741.67,3053.3301,2264.9099,7037.3999,4482.9,6190.8,954.75,2783.75,1864.1,1429.35,1331.69,1766.64,3441.02,5317.71,1362.89,1257.5699,3585.55,892.91,6381.3198,5226.44,2345.76,2812.48,2619.7,1821.9399,2813.8401,3276.26,2454.3799,1550.23,2748.3501,3048.96,1180.5601,3885.47,1311.9399,4451.8999,3126.9399,7491.4902,3677.3601,5739.1802,5033.8101,3001.51,6757.4902,3396.1599,3632.1101,5742.5801,2884.3601,3830.8101,3921.3701,13193.4297,1879.91,4534.3799,4401.35,11770.2,1121.26,1089.9,8030.1699,2254.3999,2612.5701,1515.89,4478.52,6004.86,7129.74,2848.27,1994.87,3716.79,1655.34,12076.53,5320.66,6784.62,4114.07,4216.68,9636.46,559.82,3278.84,1595.56
2007/10/17,1613.8,1613.8,2143.04,2624.6001,1429.92,1694.0601,2535.56,2721.81,8218.9199,3482.46,2598.3401,16339.07,3085.8799,2481.0801,4009.49,6771.8301,2283.8,2325.74,7547.3198,3020.73,13904.8,11802.89,5763.33,3094.22,2295.9399,7122.0098,4476.06,6080.87,962.86,2811.22,1867.51,1459.9301,1345.78,1768.8199,3448.76,5298.2998,1397.48,1275.35,3633.4099,895.48,6316.3701,5218.97,2362.6101,2836,2651.5901,1848.62,2846.4299,3350.29,2488.01,1577.98,2835.99,3090.1699,1173.35,3854.3799,1308.8101,4528.6201,3142.3799,7624.7202,3687.1599,5861.0298,5135.98,3015.4199,6614.8501,3329.9099,3588.05,5757.8799,2914.6599,3819.6599,3882.96,13137.4199,1859.5699,4558.0898,4437.8,11759.87,1143.97,1117.54,8095.8901,2300.24,2593.04,1529.64,4403.4399,5980.11,6948.75,2849.01,2003.89,3711.46,1661.86,12265.79,5373.56,6987.83,4114.77,4181.78,9467.31,570.1,3260.97,1596.54
2007/10/18,1693.34,1693.34,2069.6101,2640.5801,1429.65,1661.9301,2493.98,2759.38,7791.0298,3276.3701,2390.47,16019.08,3061.6201,2459.78,3998.6201,6971.8901,2217.54,2284.5801,7250.3501,2956.71,12785.95,11368.78,5573.16,3041.3301,2255.6799,7005.4902,4334.69,5950.73,945.58,2783.99,1818.85,1433.78,1320.48,1751.99,3341.99,5126.7998,1361.5,1310.88,3586.01,867.14,6089.04,5161.18,2348.45,2764.9199,2558.1899,1833.12,2807.8799,3357.29,2467.99,1560.17,2808.3501,3087.3201,1149.17,3788,1287.08,4357.7002,3096.4299,7518.6802,3654.02,5569.8398,5084.0898,2966.5901,6544.1401,3143.53,3565.1499,5622.0801,2852.6399,3894.5801,3737.53,12715.1504,1836.38,4448.7402,4363.66,11288.16,1120.99,1092.53,8047.8999,2308.73,2539.98,1508.6,4215.1899,5787.25,6924.31,2795.86,1985.37,3649.6,1663.28,12186.17,5211.07,6900.94,3952.5,4069.17,9011.69,543.85,3231.02,1584.85
2007/10/19,1772.2,1772.2,2043.1,2581.3,1420.71,1623.05,2466.44,2635.28,7712.2202,3237.49,2374.9399,15388.29,3041.1699,2436.3701,3994.99,6777.3999,2193.2,2288.1599,7156.3999,2948.75,12631.05,11222.98,5513.28,3006.8799,2263.4199,6924.7598,4280.44,5798.42,942.18,2789.1001,1804.66,1397.88,1309.48,1759.03,3315.21,5039.7402,1357.17,1297.87,3602.4199,863.71,6088.1499,5047.37,2332.3,2749.27,2567.9099,1814.98,2799.02,3332.46,2448.05,1539.3199,2807.5901,3066.05,1139.59,3743.6101,1269.72,4319.77,3076.1499,7468.4902,3633.73,5317.0898,5004.0498,2943.71,6706.5801,3106.4099,3547.5,5665.8398,2876.2,3872.5701,3723.9099,12981.0703,1812.01,4445.3198,4335.15,11386.13,1110.97,1104.38,8038.73,2284.5701,2508.26,1512.41,4176.27,5734.33,6811.9,2752.72,1975.87,3494.03,1658.84,12212.77,5142.67,6852.83,3925.87,3991.41,8876.68,537.19,3202.74,1575.02
2007/10/22,1762.8199,1762.8199,1978.38,2534.04,1386.46,1564.72,2432.96,2565.18,7294.5801,3119.3201,2303.6799,15041.88,2989.1899,2363.8101,3929.28,6652.5601,2167.46,2281.53,6869.1802,2866.75,12376.98,11034.04,5359.64,2966.52,2186.1499,6831.3599,4187.61,5629.33,913.23,2694.95,1750.21,1339.33,1307.41,1672.04,3237.6599,4833.8999,1318.76,1257.16,3489.8501,836.11,5961.71,4973.49,2271.3301,2680.7,2515.8101,1766.2,2676.22,3297.4299,2410.95,1481.3101,2719.27,2991.5901,1098.23,3608.8101,1205.6801,4090.6499,2982.5701,7382.0498,3438.8401,4955.9702,4817.29,2880.6599,6702.3301,3077.28,3359.3101,5569.3501,2838.1101,3784.3601,3654.5701,12896.6504,1781.55,4390.4902,4247.66,11416.25,1094.55,1053.05,8046.9302,2184.24,2431.97,1491.4301,3978.54,5633.13,6592.45,2678.81,1899.87,3298.05,1640.08,12060.57,5097.5,7048.25,3786.16,3935.5,8940.55,513.58,3114.79,1513.69
2007/10/23,1778.66,1778.66,1931.4399,2509.72,1376.59,1514.58,2381.65,2517.23,6923.71,3007.7,2175.1101,14579.14,2890.04,2315.6599,3887.1201,6420.25,2185.1699,2262.46,6706.5498,2820.3,12323.14,10781.62,5160.72,2869.9399,2076.95,6837.3999,4130.67,5404.42,894.07,2608.2,1718.6801,1328.34,1281.71,1660.3101,3201.96,4820.6699,1297.53,1274.3,3469.3201,815.09,6010.9302,4994.73,2198.29,2615.3301,2504.8401,1759.75,2634.1799,3232.3799,2407.9399,1449.5699,2669.98,2940.01,1106.48,3559.8301,1148.3199,3995.04,2919.78,7276,3306.8,4599.73,4842.5098,2819.3701,6639.5098,3023.4199,3214.4199,5597.6099,2852.1899,3745.6599,3710.8501,12695.3897,1856.8,4361.8901,4267.24,11307.41,1084.77,1042.52,8003.3301,2126.1699,2392.6599,1474.83,3868.0901,5504.36,6523.05,2670.15,1866.63,3208.49,1647.5,11728.86,5109.89,6663.59,3636.25,3782.06,9016.72,525.53,3044.08,1454.2
2007/10/24,1724.47,1724.47,1928.39,2499.5,1364.76,1511.58,2369.92,2563.49,7165.73,3044.1001,2250.1101,15013.48,2891.3201,2326.22,3913.96,6721,2213.46,2229.0601,6850.75,2832.77,12562.09,11004.02,5334.83,2866.2,2025.55,6883.2798,4184.62,5262.16,887.61,2623.96,1692.14,1329.9399,1264.47,1608.16,3212.5701,4880.0801,1291.33,1267.4399,3484.28,810.52,5984.75,5058.23,2182.29,2684.1299,2490.01,1769.02,2610.3301,3221.74,2390.25,1453.86,2663.26,2934.75,1130.8,3601.78,1174.12,3837,2964.5801,7399.6201,3300.6899,4802.1802,4885.4502,2845.5601,6836.6401,3010.9199,3167.0601,5763.52,2908.0601,3819.71,3855.6399,12815.9502,1916.48,4391.6802,4293.63,11489.5,1048.87,1050.41,8005.7202,2141.99,2376.45,1481.78,4012.8601,5577.85,6578.46,2695.91,1861.88,3248.8,1649.37,11796.52,5128.6,6491.43,3671.76,3716.22,9375.68,523.45,3023.7,1450.46
2007/10/25,1588.98,1588.98,1761.55,2334.55,1272.53,1415.8,2239.74,2441.46,6750.4102,2805.9299,2196.54,14741.6,2666.77,2133.0801,3715.6899,6690.5801,2038.17,2083.8,6444.5498,2658.04,12363,10634.97,5096.38,2676.5,1875.14,6485.0098,3916.57,4875.2,817.69,2427.0801,1561.1801,1287.48,1203.69,1461.22,3009.3401,4514.6299,1182.4,1203.26,3341.8601,757.91,5990.6802,4917.88,2002.9301,2529.1399,2281.3,1638.55,2395.3701,3023.1101,2229.75,1384.58,2474.3401,2716.1201,1146.48,3359.1399,1069.24,3487.6299,2877.27,6952.3799,3014.4199,4831.1401,4589.5801,2648.9399,6863.25,2739.9199,2862.03,5629.5,2790.3,3783.1101,3787.1599,12706.9902,1862.5601,4172.1602,4030.96,11142.83,1004.83,974.07,7886.6499,1959.88,2267.0601,1398.5,3872.1499,5332.11,6162.26,2486.38,1805.35,2999.58,1574.76,10883.99,4989.98,6024.67,3405.19,3507.11,9094.74,490.57,2903.89,1319.47
