date,forestry,agricultural products processing,agricultural comprehensive,feed,fishery,plantation,livestock,animal health,coal mining,other mining,oil mining,mining services,chemical fiber,chemical raw materials,chemical products,petrochemical,plastics,rubber,steel,metal and non-metallic materials,gold,rare metals,industrial metals,general machinery,instrumentation,special equipment,metal products,transportation equipment,Semiconductor,other electronic,components,optical optoelectronics,electronics manufacturing,automotive services,auto parts,automotive vehicles,computer equipment ,communication equipment,white goods,audiovisual equipment,beverage manufacturing,food processing,textile manufacturing,clothing come textiles,packaging and printing,household light industry,papermaking,chemical pharmaceutical,biology products,medical devices,pharmaceutical business,chinese medicine,medical services,electricity,environmental protection,Gas,Water,Harbor,Public Transportation,Air Transportation,Airport,Expressway,Shipping,Railway Transportation,Logistics,Real Estate Development,Park Development,Multi-Finance,Banking,Brokers,Insurance,Trade,General Retail,Professional Retail,Commercial Property Management,Catering,Attractions,Hotels,Tourism,Computer Application,Communication Operations,Cement Manufacturing,Glass Manufacturing,Other Building Materials,Decoration,Motor,Electrical Automation Equipment,Power Equipment,High and Low Voltage Equipment,Aerospace Equipment,Aviation Equipment,Ground Armament,Shipbuilding,Internet Media,Cultural Media,Other Delivery Equipment
2007/10/12,1606.2,1606.2,2094.6899,2651.6899,1444.02,1687.49,2568.49,2589.33,8292.4697,3444.5901,2565.1299,15284.28,3141.9399,2565.26,3986.25,6576.3501,2376.3899,2427.6899,7471.4199,3044.77,14004.33,11884.22,5704.74,3159.3401,2451.7,7183.0698,4724.12,6580.88,1002.68,2854.04,1967.36,1467.26,1285.07,1929.15,3412.5901,5329.98,1446.76,1316.6801,3749.46,922.74,6356.0801,5132.3,2472.46,2870.75,2794.9399,1921.8101,2968.49,3559.28,2598,1668.5699,2870.3101,3248.3701,1219.09,3918.8501,1328.05,4683.2202,3279.78,7615.7202,3809.6001,5826.73,5227.5698,3098.4399,6948.52,3211.6299,3818.9099,6309.8398,3098.51,3775.5,4026.53,12296.2598,1961.53,4839.6699,4782.99,12387.93,1194.18,1237.33,8758.1201,2373.72,2774.73,1556.9301,3987.6699,6197.3,7093.34,2985.46,2103.64,3900.86,1724.51,12741.36,5326.31,6615.98,4154.21,4491.73,10559.67,559.89,3503.06,1689.25
2007/10/15,1579.1,1579.1,2166.75,2655.1299,1460.35,1769.1801,2615.39,2630.51,8216.1104,3617.99,2785.8501,15798.6,3110.54,2501.29,3960.95,6730.3599,2275.6001,2359.73,7441.8398,3025.05,14675.43,12462.64,6085.97,3109.9399,2317.6201,7119.4199,4526.38,6334.5,969.73,2810.1299,1910.1,1430.24,1265.08,1839.72,3440.5801,5337.8999,1394.55,1272.92,3717.1899,893.45,6354.4302,4999.07,2390.1599,2851.97,2694.1699,1892.99,2885.79,3452,2552.1399,1617.12,2795.1299,3119.8601,1200,3794.4399,1347.86,4557.6802,3222.28,7465.9102,3734.3,6211.21,5160.2998,3015.71,6854.2002,3329.21,3757.8601,6025.8198,2977.23,3876.4299,3942.99,12983.1299,1924.78,4699.9399,4591.8,12129.44,1181.48,1151.77,8404.4697,2299.3999,2659.51,1533.9399,4213.1899,6278.57,7324.15,2905.47,2075.61,3832.85,1707.18,12426.16,5310.55,6814.45,4102.48,4298.93,10525.97,555.82,3355.5,1657.37
2007/10/16,1542.42,1542.42,2185.5801,2625.8799,1474.6,1776.1,2563.57,2571.94,8229.6201,3614.49,2739.24,15896.77,3159.4399,2564.2,4058.2,6994.8301,2300.24,2328.05,7909.4302,3076.5901,14386.28,12349.48,6024.46,3140.9299,2313.8101,7287.96,4585.63,6456.29,985.17,2863.3899,1904.08,1457.49,1294.13,1783,3538.1299,5521.4502,1389.8101,1283.9,3696.03,909.03,6581.7798,5129.05,2406.3701,2911.8601,2706.27,1873.9399,2878.9099,3342.73,2518.5901,1565.45,2794.25,3108.5901,1189.67,4003.72,1355.26,4561.1602,3255.0901,7683.5498,3744,6032.7998,5118.4199,3042.54,7002.21,3555.28,3764.55,5828.23,2918.3701,3879.78,3940.1001,13383.6602,1902.85,4664.8398,4518.25,12140.72,1143.64,1134.66,8168.3599,2345.6299,2677.98,1550.24,4668.3198,6144.39,7340.68,2901.55,2032.86,3826.83,1690.1,12467.7,5535.88,7046.5,4281.98,4273.31,10069.4,573.93,3354.08,1634.65
2007/10/17,1632.62,1632.62,2209.72,2680.9299,1465.91,1737.01,2489.1,2609.1,8552.7197,3548.4099,2672.27,16226.53,3171.29,2551.0901,4091.47,6987.8701,2343.6699,2370.1499,7733.0601,3112.3899,14099.76,12098.32,5889.7,3148.04,2365.8201,7361.98,4586.18,6346.9,986.3,2909.7,1923.83,1491.1801,1310.43,1812.34,3545.96,5441.9702,1433.25,1302.62,3699.8999,924.23,6502.9702,5079.32,2423.28,2928.5801,2739.8,1895.16,2934.0801,3438.6399,2552.8701,1607.89,2922.6201,3165.97,1209.98,3950.72,1331.77,4599.4199,3215.76,7738.6401,3784.99,6006.4902,5247.73,3116,6778.8799,3454.55,3702.55,5924.6499,3002.6399,3888.6299,3980.3601,13848.6104,1895.78,4647.6299,4562.19,11868.28,1171.9,1145.1899,8229.3203,2350.98,2663.6299,1562.15,4491.7002,6136.01,7312.04,2945.07,2042.36,3771.12,1688.49,12489.66,5475.53,7014.76,4185.9,4358.77,9721.23,583.24,3343.8,1632.92
2007/10/18,1716,1716,2202.9099,2724.8899,1461.27,1739.03,2481.27,2707.25,8256.8096,3456.77,2617.0901,15918.17,3172.0601,2562.8201,4163.21,7262.48,2313.46,2374.72,7671.5801,3095.3999,13987.01,12060.5,5901.42,3155.24,2355.95,7351.04,4543.13,6168.56,976.86,2867.2,1891.6,1500.47,1300.77,1783.42,3500.9099,5351.3301,1424.13,1354.17,3772.74,900.71,6309.79,5121.94,2411.1101,2881.1299,2660.9099,1904.02,2933.25,3446.78,2546.26,1601.01,2900.8501,3170.8,1188.64,3950.5601,1336.47,4576.9502,3219.8701,7920.3198,3761.3101,6069.6299,5329.29,3055.26,6741.0698,3324.1499,3712.3799,5831.6899,2948.2,3978.6699,3911.97,13339.8301,1900.55,4667.4302,4548.2,11998.09,1166.09,1128.08,8220.5703,2380.79,2641.8201,1565.01,4512.21,6072,7279.51,2881.19,1995.34,3686.2,1693.57,12605.58,5491.93,7268.92,4167.47,4267.7,9632.68,576.74,3386.47,1622.44
2007/10/19,1835.92,1835.92,2102.3,2683.8899,1475.74,1688.1,2408.74,2609.29,7913.1499,3318.6101,2474.05,14994.66,3109.8601,2509.5601,4096.9502,7152.1802,2254.1499,2343.78,7368.0801,3037.4199,12902.29,11622.48,5692.45,3090.25,2287.29,7114.5098,4363.17,6107.57,961.06,2845.1299,1860.6,1460.91,1266.78,1782.65,3429.9299,5221.7598,1382.36,1328.48,3667.3501,877.88,6193.4399,5002.29,2403.8701,2818.8601,2607.5801,1867.63,2881.2,3439.28,2520.6899,1569.08,2861.8101,3158.23,1172.86,3858.0601,1313.27,4445.54,3181.6499,7602.1201,3743.48,5533.3999,5108.4199,3000.0901,6776.46,3195.8201,3675.01,5743.5801,2920.9199,3992.2,3801.7,13434.3398,1885.63,4538.23,4441.76,11495.84,1149.78,1105.7,8168.3701,2346.79,2593.3799,1544.58,4291.3101,5896.79,7137.73,2836.96,1995.82,3623.87,1685.04,12500.17,5260.49,6981.88,4015.99,4104.63,9022.08,552.76,3322.44,1621.36
2007/10/22,1852.65,1852.65,2072.6599,2594.3201,1433.59,1629.45,2369.27,2524.34,7681.1899,3280.1101,2457.98,14868.24,3094.3401,2451.74,4041.6201,6856.3599,2209.77,2349.5901,7145.0898,2989.6201,12977.82,11521.15,5608.95,3049.8501,2277.3401,7015.1401,4303.48,5760.67,948.04,2810.51,1807.48,1391.48,1273.41,1756.98,3342.77,5067.2998,1354.65,1301.66,3596.52,866.5,6158.9102,4843.35,2352.0901,2762.22,2597.9199,1840.45,2796.8,3404.6101,2490.53,1540.62,2843,3083.1299,1137.87,3790.0601,1257.08,4303.77,3126.8201,7671.3901,3619.3701,5326,4979.1802,2952.3799,7008.5898,3095.3799,3598.9099,5725.1099,2929.3401,3849.1699,3729.6101,13259.0303,1801.89,4529.6401,4379.53,11777.05,1125.84,1099.12,8170.8599,2289.5601,2525.6899,1540.15,4136.0498,5781.62,6932.84,2788.33,1994.87,3417.58,1669.85,12455.07,5235.43,7118.12,3913.24,4097.09,9273.42,538.28,3241.77,1611.16
2007/10/23,1819.84,1819.84,1996.3199,2623.3301,1432.04,1569.1801,2329.64,2430.23,7337.5601,3183.47,2303.6799,14322.8,3054.54,2401.8101,4015.5701,6638.8701,2227.2,2345.3,6910.5601,2934.1101,12902.99,11306.44,5429.92,2999.46,2191.3899,7032.9502,4233.65,5711,926.83,2722.96,1781.77,1396.8,1246.69,1675.38,3281.55,4952.7798,1343.39,1287.11,3531.02,842.9,6081.2202,4809.92,2306.1499,2706.4299,2603.95,1833.72,2714.1499,3388.6201,2472.77,1488.9399,2787.1399,3033.3999,1155.72,3658.6201,1200.17,4099.9502,3044.3601,7451.8101,3450.8601,4953.8101,4968.3301,2920.4199,6971.7998,3147.4399,3401.47,5742.7202,2927.8301,3773.4399,3743.1001,13269.9199,1864.83,4495.1201,4412.74,11588.35,1110.6,1053.05,8168.7402,2206.3,2478.49,1518.38,3981.1399,5753.83,6672.59,2720.3,1923.62,3230.45,1662.13,12063.48,5277.24,7294.94,3838.1,3952.05,9336,542.83,3171.94,1526.92
2007/10/24,1823.8,1823.8,2002.77,2606.2,1420.91,1561.63,2340.51,2463.47,7321.2998,3215.6201,2335.8301,14328.34,3015.5601,2416.1101,4037.97,6806.7798,2305.4299,2347.3601,7096.98,2945.1599,12610.97,11280.9,5519.26,2980.8201,2129.51,7061.04,4312.15,5575.82,918.48,2705.4199,1779.4399,1384.72,1256.08,1717.2,3310.5,5039.8701,1340.73,1319.53,3590.1101,847.39,6278.3701,4949.16,2272.79,2746.25,2614.45,1827.5,2744.3601,3352.3899,2471.3501,1496.88,2774.0901,3044.1499,1161.6801,3702.46,1197.1899,4143.27,3039.8501,7632.0698,3458.76,4998.98,4999.96,2942.49,6888.52,3152.1001,3354.25,5865.0098,2979.79,3855.8601,3895.04,13160.8203,1926.04,4512.8301,4468.64,11592.38,1109.62,1066.21,8140.04,2237.23,2475.6299,1524.23,4063.7,5715.28,6881.11,2772.58,1923.62,3321.22,1676.78,12228.69,5259.59,6880.69,3786.09,3903.87,9578.37,545.93,3132.34,1512.92
2007/10/25,1740.48,1740.48,1945.4399,2461.9399,1386.5699,1527.4,2223.13,2423.13,7181.5,3053.74,2330.47,14613.62,2901.22,2321.8201,3990.29,7176.6802,2218.6499,2238.25,6871.5801,2854.6101,13160,11296.49,5411.09,2891.6499,2072.1399,7012.0601,4222.3,5289.81,895.23,2631.22,1699.45,1364.63,1187.09,1613.05,3237.79,4925.04,1295.0699,1280.8101,3496.5,810.23,6236.9502,4836.88,2190.6499,2698.26,2488.45,1787.9,2576.8401,3264.1499,2409.6799,1467.0699,2690.53,2949.73,1227.9399,3632.6599,1178.3101,3829.51,3062.5701,7493.1299,3311.2,5143.6499,4889.7402,2858.1499,7244.5,2998.74,3143.29,5884.4702,2954.71,3908.48,3905.8501,13245.2598,1952.9,4457.4199,4315.71,11707.17,1091.24,1051.73,8097.5698,2150.1101,2415.25,1502.8199,4092.4399,5747.3,6671.95,2755.67,1899.87,3179.46,1679.57,11862.74,5221.6,6701.31,3703.77,3623.45,9599.43,539.6,3068.54,1445.63
