Source,Target,Weight
forestry,forestry,0.05576812
agricultural products processing,forestry,0.004108946
agricultural comprehensive,forestry,0.005159945
feed,forestry,0.003589345
fishery,forestry,0.00517217
plantation,forestry,0.004754323
livestock,forestry,0.003854451
animal health,forestry,0.003732256
coal mining,forestry,0.005513621
other mining,forestry,0.004596234
oil mining,forestry,0.002813492
mining services,forestry,0.00579886
chemical fiber,forestry,0.0059386
chemical raw materials,forestry,0.0049907
chemical products,forestry,0.004435158
petrochemical,forestry,0.004146542
plastics,forestry,0.003607124
rubber,forestry,0.00561957
steel,forestry,0.00632352
metal and non-metallic materials,forestry,0.005276238
gold,forestry,0.002556862
rare metals,forestry,0.005516226
industrial metals,forestry,0.004930206
general machinery,forestry,0.004977239
instrumentation,forestry,0.005594454
special equipment,forestry,0.005038355
metal products,forestry,0.004248486
transportation equipment,forestry,0.005135545
Semiconductor,forestry,0.006254436
other electronic,forestry,0.00436793
components,forestry,0.005251725
optical optoelectronics,forestry,0.00407193
electronics manufacturing,forestry,0.0035509
automotive services,forestry,0.004228852
auto parts,forestry,0.004378255
automotive vehicles,forestry,0.002787851
computer equipment,forestry,0.004170289
communication equipment,forestry,0.004920235
white goods,forestry,0.003236854
audiovisual equipment,forestry,0.007053467
beverage manufacturing,forestry,0.003706077
food processing,forestry,0.003213094
textile manufacturing,forestry,0.00454143
clothing come textiles,forestry,0.003812938
packaging and printing,forestry,0.003075565
household light industry,forestry,0.003628572
papermaking,forestry,0.005371472
chemical pharmaceutical,forestry,0.00335215
biology products,forestry,0.002761995
medical devices,forestry,0.005798216
pharmaceutical business,forestry,0.003801512
chinese medicine,forestry,0.003427116
medical services,forestry,0.0035387
electricity,forestry,0.005052234
environmental protection,forestry,0.003662612
Gas,forestry,0.002589711
Water,forestry,0.007428385
Harbor,forestry,0.005246173
Public Transportation,forestry,0.005824561
Air Transportation,forestry,0.006375749
Airport,forestry,0.003985921
Expressway,forestry,0.006552063
Shipping,forestry,0.007493718
Railway Transportation,forestry,0.005655278
Logistics,forestry,0.004132222
Real Estate Development,forestry,0.003897839
Park Development,forestry,0.004589581
Multi-Finance,forestry,0.004263391
Banking,forestry,0.002448775
Brokers,forestry,0.002408091
Insurance,forestry,0.002498291
Trade,forestry,0.004308425
General Retail,forestry,0.003268539
Professional Retail,forestry,0.006179169
Commercial Property Management,forestry,0.006554947
Catering,forestry,0.002318127
Attractions,forestry,0.005107049
Hotels,forestry,0.009625232
Tourism,forestry,0.004254419
Computer Application,forestry,0.007282772
Communication Operations,forestry,0.006557248
Cement Manufacturing,forestry,0.004879992
Glass Manufacturing,forestry,0.007054023
Other Building Materials,forestry,0.003942382
Decoration,forestry,0.006149797
Motor,forestry,0.004318951
Electrical Automation Equipment,forestry,0.005291332
Power Equipment,forestry,0.006382809
