ID,Label,Weight,Color
forestry,forestry,0.05576812,0.359780471
agricultural products processing,agricultural products processing,0.027110747,0.581678945
agricultural comprehensive,agricultural comprehensive,0.066295993,0.489520814
feed,feed,0.022269923,0.582804757
fishery,fishery,0.022806843,0.213471893
plantation,plantation,0.024500811,0.794647457
livestock,livestock,0.024751821,0.532186435
animal health,animal health,0.027111375,1.118781416
coal mining,coal mining,0.025948688,1.505049399
other mining,other mining,0.023483263,0.434353464
oil mining,oil mining,0.039714846,0.025322467
mining services,mining services,0.023962051,4.910703456
chemical fiber,chemical fiber,0.020559539,0.461784569
chemical raw materials,chemical raw materials,0.02017599,0.427573516
chemical products,chemical products,0.018200074,1.084366993
petrochemical,petrochemical,0.023878181,0.632272559
plastics,plastics,0.022364042,0.824537896
rubber,rubber,0.0206625,1.125069934
steel,steel,0.028116639,0.899302105
metal and non-metallic materials,metal and non-metallic materials,0.020940402,1.36336245
gold,gold,0.028242827,4.565141961
rare metals,rare metals,0.025073055,6.932663275
industrial metals,industrial metals,0.020831552,0.388264837
general machinery,general machinery,0.019133223,1.306944924
instrumentation,instrumentation,0.030267352,1.062882583
special equipment,special equipment,0.019062265,2.791502921
metal products,metal products,0.024989158,1.116889552
transportation equipment,transportation equipment,0.048876908,6.776668945
Semiconductor,Semiconductor,0.022693156,0.197422343
other electronic,other electronic,0.022589992,1.556900858
components,components,0.020873519,0.474181711
optical optoelectronics,optical optoelectronics,0.01961426,0.153341128
electronics manufacturing,electronics manufacturing,0.020246519,0.667806199
automotive services,automotive services,0.026967743,0.139142191
auto parts,auto parts,0.018986114,1.205512927
automotive vehicles,automotive vehicles,0.025124151,1.229585683
computer equipment,computer equipment,0.019172847,0.418123287
communication equipment,communication equipment,0.022001664,0.331530879
white goods,white goods,0.024256135,2.818731286
audiovisual equipment,audiovisual equipment,0.026318486,0.107060761
beverage manufacturing,beverage manufacturing,0.025592348,2.331937179
food processing,food processing,0.023306615,3.534165858
textile manufacturing,textile manufacturing,0.020185146,0.497461873
clothing come textiles,clothing come textiles,0.019120391,0.518326714
packaging and printing,packaging and printing,0.022445208,0.648001188
household light industry,household light industry,0.018854644,0.438409613
papermaking,papermaking,0.02266514,0.345817495
chemical pharmaceutical,chemical pharmaceutical,0.018418034,2.207149797
biology products,biology products,0.019784562,1.554473811
medical devices,medical devices,0.022827769,1.844954215
pharmaceutical business,pharmaceutical business,0.019924133,1.875640707
chinese medicine,chinese medicine,0.019060187,1.933752106
medical services,medical services,0.024580045,0.882536809
electricity,electricity,0.021111498,0.388754054
environmental protection,environmental protection,0.020134854,0.274783587
Gas,Gas,0.030661002,1.564548359
Water,Water,0.023130446,0.699556886
Harbor,Harbor,0.023171167,1.448038624
Public Transportation,Public Transportation,0.03772843,0.988927735
Air Transportation,Air Transportation,0.033019581,0.785919255
Airport,Airport,0.035410686,0.521936554
Expressway,Expressway,0.02269307,0.261094212
Shipping,Shipping,0.03009862,0.556131276
Railway Transportation,Railway Transportation,0.046262379,0.147763837
Logistics,Logistics,0.024677113,2.823639124
Real Estate Development,Real Estate Development,0.020028404,1.647030153
Park Development,Park Development,0.029454884,0.438500016
Multi-Finance,Multi-Finance,0.028846184,0.516839143
Banking,Banking,0.045959853,0.282488223
Brokers,Brokers,0.076861446,3.242837874
Insurance,Insurance,0.049188705,0.033187558
Trade,Trade,0.023795577,2.163148794
General Retail,General Retail,0.019819227,1.455900817
Professional Retail,Professional Retail,0.027282229,7.924688985
Commercial Property Management,Commercial Property Management,0.023488298,0.114435865
Catering,Catering,0.033527649,0.108313427
Attractions,Attractions,0.026919282,3.725330137
Hotels,Hotels,0.031057694,0.735481592
Tourism,Tourism,0.026893727,0.875612646
Computer Application,Computer Application,0.037490321,1.495465569
Communication Operations,Communication Operations,0.044428156,0.456473926
Cement Manufacturing,Cement Manufacturing,0.027919772,0.451912899
Glass Manufacturing,Glass Manufacturing,0.028905703,1.712551961
Other Building Materials,Other Building Materials,0.027673139,2.993258599
Decoration,Decoration,0.03021539,1.696034988
Motor,Motor,0.029787873,6.770892738
Electrical Automation Equipment,Electrical Automation Equipment,0.033065178,2.548215881
Power Equipment,Power Equipment,0.031174721,1.495971972
High and Low Voltage Equipment,High and Low Voltage Equipment,0.034495813,5.756612053
Aerospace Equipment,Aerospace Equipment,0.045216891,2.801306208
Aviation Equipment,Aviation Equipment,0.030023077,5.374859599
Ground Armament,Ground Armament,0.035677101,4.431266004
Shipbuilding,Shipbuilding,0.034617629,10.58115989
Internet Media,Internet Media,0.052651586,1.284338129
Cultural Media,Cultural Media,0.042719936,0.150138344
Other Delivery Equipment,Other Delivery Equipment,0.04114131,0.899418677
