Source,Target,Weight
forestry,forestry,0.035090996
agricultural products processing,forestry,0.005616649
agricultural comprehensive,forestry,0.008470649
feed,forestry,0.004795746
fishery,forestry,0.004540511
plantation,forestry,0.004542248
livestock,forestry,0.003909027
animal health,forestry,0.004230506
coal mining,forestry,0.004456099
other mining,forestry,0.003248734
oil mining,forestry,0.001430517
mining services,forestry,0.004494939
chemical fiber,forestry,0.003980518
chemical raw materials,forestry,0.003674467
chemical products,forestry,0.00441812
petrochemical,forestry,0.003022655
plastics,forestry,0.004771148
rubber,forestry,0.005472114
steel,forestry,0.00568698
metal and non-metallic materials,forestry,0.005091598
gold,forestry,0.002517094
rare metals,forestry,0.00318882
industrial metals,forestry,0.003384687
general machinery,forestry,0.004118408
instrumentation,forestry,0.004324497
special equipment,forestry,0.004654802
metal products,forestry,0.004587369
transportation equipment,forestry,0.007856973
Semiconductor,forestry,0.00536573
other electronic,forestry,0.004456225
components,forestry,0.004567937
optical optoelectronics,forestry,0.004100999
electronics manufacturing,forestry,0.003793349
automotive services,forestry,0.005304471
auto parts,forestry,0.004096136
automotive vehicles,forestry,0.005564545
computer equipment,forestry,0.004258745
communication equipment,forestry,0.004537291
white goods,forestry,0.003776848
audiovisual equipment,forestry,0.010179678
beverage manufacturing,forestry,0.00387559
food processing,forestry,0.005078698
textile manufacturing,forestry,0.004605667
clothing come textiles,forestry,0.004850494
packaging and printing,forestry,0.003050061
household light industry,forestry,0.00354523
papermaking,forestry,0.005163739
chemical pharmaceutical,forestry,0.004257309
biology products,forestry,0.004412103
medical devices,forestry,0.003706061
pharmaceutical business,forestry,0.004720708
chinese medicine,forestry,0.003772337
medical services,forestry,0.002989986
electricity,forestry,0.003818437
environmental protection,forestry,0.003182878
Gas,forestry,0.003508429
Water,forestry,0.00504801
Harbor,forestry,0.005318213
Public Transportation,forestry,0.00678372
Air Transportation,forestry,0.004868325
Airport,forestry,0.00610241
Expressway,forestry,0.004214078
Shipping,forestry,0.004239025
Railway Transportation,forestry,0.004160425
Logistics,forestry,0.006707511
Real Estate Development,forestry,0.003671259
Park Development,forestry,0.007215389
Multi-Finance,forestry,0.010171533
Banking,forestry,0.005227647
Brokers,forestry,0.004021226
Insurance,forestry,0.004708833
Trade,forestry,0.005164593
General Retail,forestry,0.006447666
Professional Retail,forestry,0.004823211
Commercial Property Management,forestry,0.005713655
Catering,forestry,0.007987049
Attractions,forestry,0.004102505
Hotels,forestry,0.003508612
Tourism,forestry,0.004640188
Computer Application,forestry,0.004520591
Communication Operations,forestry,0.00574382
Cement Manufacturing,forestry,0.005428193
Glass Manufacturing,forestry,0.004366537
Other Building Materials,forestry,0.003902917
Decoration,forestry,0.00944435
Motor,forestry,0.00386425
Electrical Automation Equipment,forestry,0.004497526
Power Equipment,forestry,0.00365364
High and Low Voltage Equipment,forestry,0.005022345
Aerospace Equipment,forestry,0.003142136
Aviation Equipment,forestry,0.003703804
Ground Armament,forestry,0.003559577
Shipbuilding,forestry,0.005072865
Internet Media,forestry,0.003775826
Cultural Media,forestry,0.006271678
Other Delivery Equipment,forestry,0.005706226
forestry,agricultural products processing,0.014317863
agricultural products processing,agricultural products processing,0.02071612
agricultural comprehensive,agricultural products processing,0.013920975
feed,agricultural products processing,0.01210347
fishery,agricultural products processing,0.013370952
plantation,agricultural products processing,0.012554454
livestock,agricultural products processing,0.011541243
animal health,agricultural products processing,0.013337306
coal mining,agricultural products processing,0.010545582
other mining,agricultural products processing,0.010657259
oil mining,agricultural products processing,0.007211341
mining services,agricultural products processing,0.01256043
chemical fiber,agricultural products processing,0.012371368
chemical raw materials,agricultural products processing,0.012444182
chemical products,agricultural products processing,0.013078211
petrochemical,agricultural products processing,0.012002747
plastics,agricultural products processing,0.013465386
rubber,agricultural products processing,0.01199594
steel,agricultural products processing,0.011208685
metal and non-metallic materials,agricultural products processing,0.012859006
gold,agricultural products processing,0.012735859
rare metals,agricultural products processing,0.010432776
industrial metals,agricultural products processing,0.010034029
general machinery,agricultural products processing,0.013099308
instrumentation,agricultural products processing,0.010732852
special equipment,agricultural products processing,0.01217998
metal products,agricultural products processing,0.011794683
transportation equipment,agricultural products processing,0.010328002
Semiconductor,agricultural products processing,0.012419211
other electronic,agricultural products processing,0.012774595
components,agricultural products processing,0.013898961
optical optoelectronics,agricultural products processing,0.011820301
electronics manufacturing,agricultural products processing,0.010770096
automotive services,agricultural products processing,0.012112668
auto parts,agricultural products processing,0.012681893
automotive vehicles,agricultural products processing,0.009177423
computer equipment,agricultural products processing,0.011951057
communication equipment,agricultural products processing,0.013501886
white goods,agricultural products processing,0.010116888
audiovisual equipment,agricultural products processing,0.012690298
beverage manufacturing,agricultural products processing,0.009687244
food processing,agricultural products processing,0.01172525
textile manufacturing,agricultural products processing,0.013413435
clothing come textiles,agricultural products processing,0.013153245
packaging and printing,agricultural products processing,0.011744886
household light industry,agricultural products processing,0.012326383
papermaking,agricultural products processing,0.012609831
chemical pharmaceutical,agricultural products processing,0.011501761
biology products,agricultural products processing,0.012038602
medical devices,agricultural products processing,0.012202179
pharmaceutical business,agricultural products processing,0.013563082
chinese medicine,agricultural products processing,0.01185496
medical services,agricultural products processing,0.013029779
electricity,agricultural products processing,0.01257452
environmental protection,agricultural products processing,0.010210865
Gas,agricultural products processing,0.015171717
Water,agricultural products processing,0.013495282
Harbor,agricultural products processing,0.011175619
Public Transportation,agricultural products processing,0.014475608
Air Transportation,agricultural products processing,0.011198313
Airport,agricultural products processing,0.011494495
Expressway,agricultural products processing,0.011921157
Shipping,agricultural products processing,0.012996303
Railway Transportation,agricultural products processing,0.012458161
Logistics,agricultural products processing,0.012056636
Real Estate Development,agricultural products processing,0.011141789
Park Development,agricultural products processing,0.013993004
Multi-Finance,agricultural products processing,0.012033698
Banking,agricultural products processing,0.005543486
Brokers,agricultural products processing,0.012670563
Insurance,agricultural products processing,0.004538974
Trade,agricultural products processing,0.011888639
General Retail,agricultural products processing,0.013102912
Professional Retail,agricultural products processing,0.014195527
Commercial Property Management,agricultural products processing,0.012867232
Catering,agricultural products processing,0.01299462
Attractions,agricultural products processing,0.011944819
Hotels,agricultural products processing,0.011317313
Tourism,agricultural products processing,0.012640937
Computer Application,agricultural products processing,0.011307434
Communication Operations,agricultural products processing,0.011873556
Cement Manufacturing,agricultural products processing,0.010787942
Glass Manufacturing,agricultural products processing,0.012440876
Other Building Materials,agricultural products processing,0.012172415
Decoration,agricultural products processing,0.00999401
Motor,agricultural products processing,0.013920736
Electrical Automation Equipment,agricultural products processing,0.012959889
Power Equipment,agricultural products processing,0.012034505
High and Low Voltage Equipment,agricultural products processing,0.012571502
Aerospace Equipment,agricultural products processing,0.011895756
Aviation Equipment,agricultural products processing,0.013025072
Ground Armament,agricultural products processing,0.013208443
Shipbuilding,agricultural products processing,0.012634308
Internet Media,agricultural products processing,0.013017807
Cultural Media,agricultural products processing,0.010566891
Other Delivery Equipment,agricultural products processing,0.012993
forestry,agricultural comprehensive,0.011594474
agricultural products processing,agricultural comprehensive,0.009371813
agricultural comprehensive,agricultural comprehensive,0.031570079
feed,agricultural comprehensive,0.008762356
fishery,agricultural comprehensive,0.008761137
plantation,agricultural comprehensive,0.011940321
livestock,agricultural comprehensive,0.008943892
animal health,agricultural comprehensive,0.006611227
coal mining,agricultural comprehensive,0.007890342
other mining,agricultural comprehensive,0.009679488
oil mining,agricultural comprehensive,0.006968111
mining services,agricultural comprehensive,0.007515343
chemical fiber,agricultural comprehensive,0.00928084
chemical raw materials,agricultural comprehensive,0.008361423
chemical products,agricultural comprehensive,0.008219178
petrochemical,agricultural comprehensive,0.007703719
plastics,agricultural comprehensive,0.009055455
rubber,agricultural comprehensive,0.008673965
steel,agricultural comprehensive,0.008350109
metal and non-metallic materials,agricultural comprehensive,0.008481754
gold,agricultural comprehensive,0.007505101
rare metals,agricultural comprehensive,0.00754259
industrial metals,agricultural comprehensive,0.007038413
general machinery,agricultural comprehensive,0.008879083
instrumentation,agricultural comprehensive,0.008393633
special equipment,agricultural comprehensive,0.008844354
metal products,agricultural comprehensive,0.008826836
transportation equipment,agricultural comprehensive,0.011695449
Semiconductor,agricultural comprehensive,0.00879995
other electronic,agricultural comprehensive,0.008809585
components,agricultural comprehensive,0.009596419
optical optoelectronics,agricultural comprehensive,0.008725264
electronics manufacturing,agricultural comprehensive,0.007635828
automotive services,agricultural comprehensive,0.009353769
auto parts,agricultural comprehensive,0.007884593
automotive vehicles,agricultural comprehensive,0.004980292
computer equipment,agricultural comprehensive,0.008830804
communication equipment,agricultural comprehensive,0.008712484
white goods,agricultural comprehensive,0.005916338
audiovisual equipment,agricultural comprehensive,0.012550336
beverage manufacturing,agricultural comprehensive,0.006735477
food processing,agricultural comprehensive,0.007232985
textile manufacturing,agricultural comprehensive,0.009113845
clothing come textiles,agricultural comprehensive,0.008976698
packaging and printing,agricultural comprehensive,0.008305686
household light industry,agricultural comprehensive,0.008585837
papermaking,agricultural comprehensive,0.008673238
chemical pharmaceutical,agricultural comprehensive,0.006922411
biology products,agricultural comprehensive,0.007420649
medical devices,agricultural comprehensive,0.008659752
pharmaceutical business,agricultural comprehensive,0.008557066
chinese medicine,agricultural comprehensive,0.007796001
medical services,agricultural comprehensive,0.009111875
electricity,agricultural comprehensive,0.008100011
environmental protection,agricultural comprehensive,0.008526832
Gas,agricultural comprehensive,0.01134629
Water,agricultural comprehensive,0.006564823
Harbor,agricultural comprehensive,0.006205371
Public Transportation,agricultural comprehensive,0.008357597
Air Transportation,agricultural comprehensive,0.008328454
Airport,agricultural comprehensive,0.008520311
Expressway,agricultural comprehensive,0.008095038
Shipping,agricultural comprehensive,0.008369229
Railway Transportation,agricultural comprehensive,0.006787435
Logistics,agricultural comprehensive,0.011654009
Real Estate Development,agricultural comprehensive,0.00791473
Park Development,agricultural comprehensive,0.008599026
Multi-Finance,agricultural comprehensive,0.011235468
Banking,agricultural comprehensive,0.005093064
Brokers,agricultural comprehensive,0.001730034
Insurance,agricultural comprehensive,0.002643522
Trade,agricultural comprehensive,0.008519341
General Retail,agricultural comprehensive,0.008922509
Professional Retail,agricultural comprehensive,0.010512664
Commercial Property Management,agricultural comprehensive,0.009229979
Catering,agricultural comprehensive,0.008106917
Attractions,agricultural comprehensive,0.010274517
Hotels,agricultural comprehensive,0.009955656
Tourism,agricultural comprehensive,0.008707681
Computer Application,agricultural comprehensive,0.010434018
Communication Operations,agricultural comprehensive,0.009876706
Cement Manufacturing,agricultural comprehensive,0.007306287
Glass Manufacturing,agricultural comprehensive,0.009347282
