Source,Target,Weight
forestry,forestry,0.032562742
agricultural products processing,forestry,0.006318367
agricultural comprehensive,forestry,0.006977702
feed,forestry,0.00627282
fishery,forestry,0.00630511
plantation,forestry,0.007604419
livestock,forestry,0.006594871
animal health,forestry,0.005470718
coal mining,forestry,0.005274163
other mining,forestry,0.005174734
oil mining,forestry,0.005590243
mining services,forestry,0.006072339
chemical fiber,forestry,0.005737013
chemical raw materials,forestry,0.005798271
chemical products,forestry,0.005704252
petrochemical,forestry,0.005774947
plastics,forestry,0.00555833
rubber,forestry,0.005840311
steel,forestry,0.005895611
metal and non-metallic materials,forestry,0.005380289
gold,forestry,0.004884791
rare metals,forestry,0.004551695
industrial metals,forestry,0.005298723
general machinery,forestry,0.005656651
instrumentation,forestry,0.005852099
special equipment,forestry,0.005732904
metal products,forestry,0.005506675
transportation equipment,forestry,0.00652855
Semiconductor,forestry,0.005549775
other electronic,forestry,0.005406732
components,forestry,0.005430433
optical optoelectronics,forestry,0.005382558
electronics manufacturing,forestry,0.005005157
automotive services,forestry,0.006037723
auto parts,forestry,0.005565757
automotive vehicles,forestry,0.005206012
computer equipment,forestry,0.005733567
communication equipment,forestry,0.005544289
white goods,forestry,0.005127733
audiovisual equipment,forestry,0.005936312
beverage manufacturing,forestry,0.005338748
food processing,forestry,0.005178766
textile manufacturing,forestry,0.005838746
clothing come textiles,forestry,0.005880081
packaging and printing,forestry,0.005650006
household light industry,forestry,0.005689722
papermaking,forestry,0.006016856
chemical pharmaceutical,forestry,0.005512024
biology products,forestry,0.005504387
medical devices,forestry,0.005432169
pharmaceutical business,forestry,0.005466697
chinese medicine,forestry,0.005423141
medical services,forestry,0.005257737
electricity,forestry,0.006094404
environmental protection,forestry,0.005528726
Gas,forestry,0.005689767
Water,forestry,0.006294968
Harbor,forestry,0.007068001
Public Transportation,forestry,0.006425259
Air Transportation,forestry,0.006378225
Airport,forestry,0.006288643
Expressway,forestry,0.006255541
Shipping,forestry,0.006647891
Railway Transportation,forestry,0.006353987
